date,open,high,low,close,volume,amount
2015-01-05,12.1300,12.4400,12.0400,12.3900,12078161,148219898.0000
2015-01-06,12.3000,12.7300,12.2400,12.6900,15616528,195833393.0000
2015-01-07,12.6300,12.7200,12.4300,12.5000,8764564,109794932.0000
2015-01-08,12.5800,12.7000,12.4800,12.5000,9123926,114901616.0000
2015-01-09,12.5800,12.8300,12.3900,12.4100,14743827,186505662.0000
2015-01-12,12.3400,12.6000,12.2500,12.4500,7604074,95066920.0000
2015-01-13,12.5200,13.2800,12.4500,13.0500,24835791,320797296.0000
2015-01-14,13.2800,13.7600,12.9900,13.1800,37389847,502264688.0000
2015-01-15,12.9100,13.1500,12.8800,13.0600,13658896,177456452.0000
2015-01-16,13.1000,13.6800,12.9600,13.4100,24124828,321573184.0000
2015-01-19,13.0200,13.6900,12.7000,13.0800,25291387,337212224.0000
2015-01-20,13.1600,13.9900,13.1600,13.9500,41927134,574477712.0000
2015-01-21,13.9500,14.3200,13.7400,14.1000,36133540,505917920.0000
2015-01-22,14.0900,14.1800,13.9100,14.0800,19491088,274209648.0000
2015-01-23,14.1300,14.1500,13.6000,13.6300,22367009,309046640.0000
2015-01-26,13.6700,14.1200,13.6700,14.0000,17980156,251235391.0000
2015-01-27,14.0000,14.1400,13.6900,13.9200,16837955,234083997.0000
2015-01-28,13.8800,13.9000,13.6600,13.7000,16375828,225360737.0000
2015-01-29,13.8000,13.9400,13.7000,13.7300,14482599,200035028.0000
2015-01-30,13.6100,13.7900,13.3300,13.3300,14650650,197732340.0000
2015-02-02,13.2700,13.6300,13.2200,13.4800,9069788,122110513.0000
2015-02-03,13.5000,13.9800,13.4500,13.8000,18443812,254661523.0000
2015-02-04,13.8100,13.9600,13.7000,13.8000,14178620,196315492.0000
2015-02-05,13.9000,14.7700,13.7800,14.3100,51993816,745522864.0000
2015-02-06,14.4700,14.9100,14.3200,14.6500,48649110,714300176.0000
2015-02-09,14.5800,15.6200,14.5100,15.1100,52659186,798383504.0000
2015-02-10,15.0000,15.4500,14.6300,15.3100,29313152,440938272.0000
2015-02-11,15.3800,15.9800,15.2600,15.4000,46986362,733509376.0000
2015-02-12,15.6100,16.1600,15.4100,15.9600,44661270,708650128.0000
2015-02-13,16.0800,16.1800,15.6200,15.7700,39878826,631124272.0000
2015-02-16,15.8800,16.0600,15.6000,15.8900,38054711,602861024.0000
2015-02-17,15.8000,16.0900,15.5200,16.0300,32949955,519428816.0000
2015-02-25,16.7500,17.4500,16.1000,16.2200,54711065,912376208.0000
2015-02-26,16.0600,16.0700,15.6800,15.9400,33545621,531681552.0000
2015-02-27,15.9600,16.8600,15.9500,16.6000,37298382,614913088.0000
2015-03-02,16.7400,17.2000,16.5000,16.7100,32958029,552451568.0000
2015-03-03,16.6000,16.8000,16.2100,16.3900,28013650,461659776.0000
2015-03-04,16.4300,16.8800,16.3500,16.8600,25289708,419929216.0000
2015-03-05,16.8400,17.1300,16.3700,16.6200,28882683,484494160.0000
2015-03-06,16.6300,16.7000,15.8000,15.8900,31388457,509252752.0000
2015-03-09,15.7000,16.3200,15.5500,16.1200,18904725,303577920.0000
2015-03-10,16.1800,17.7300,16.1600,17.7300,47721417,824093904.0000
2015-03-11,18.1000,18.6600,17.7100,18.2100,55181043,1005793536.0000
2015-03-12,18.3000,18.5000,17.8600,18.4900,29276066,530651824.0000
2015-03-13,18.4900,19.4100,18.4200,18.5500,32485154,611267504.0000
2015-03-16,18.6000,20.1000,18.6000,19.6700,42689369,835662880.0000
2015-03-17,19.5100,20.0500,19.0000,19.3100,35759988,696620720.0000
2015-03-18,19.5000,19.6600,19.1700,19.4600,24288351,471432048.0000
2015-03-19,19.6600,20.3900,18.8500,20.3900,48753799,949332640.0000
2015-03-20,20.7400,21.3800,20.4400,20.7000,56625725,1177135280.0000
2015-03-23,21.0100,22.1000,20.8000,21.7900,49924720,1082449088.0000
2015-03-24,22.1000,22.2700,20.9000,22.0100,51057688,1113410240.0000
2015-03-25,21.9000,22.0800,21.4000,21.6700,33650050,729190080.0000
2015-03-26,21.2000,21.8000,20.2300,20.6100,43437648,910303184.0000
2015-03-27,20.7200,21.3700,20.4500,21.2500,25584483,535420112.0000
2015-03-30,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-03-31,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-01,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-02,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-03,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-07,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-08,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-09,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-10,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-13,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-14,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-15,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-16,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-17,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-20,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-21,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-22,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-23,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-24,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-27,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-28,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-29,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-04-30,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-04,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-05,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-06,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-07,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-08,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-11,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-12,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-13,21.2500,21.2500,21.2500,21.2500,0,0.0000
2015-05-14,23.3800,23.3800,23.3800,23.3800,145749,3407611.0000
2015-05-15,25.7200,25.7200,25.7200,25.7200,206396,5308505.0000
2015-05-18,28.2900,28.2900,28.2900,28.2900,602756,17051967.0000
2015-05-19,31.1200,31.1200,31.1200,31.1200,9343278,290762816.0000
2015-05-20,34.2300,34.2300,34.2300,34.2300,4959289,169756462.0000
2015-05-21,37.6500,37.6500,37.6500,37.6500,1850681,69678139.0000
2015-05-22,41.4200,41.4200,41.4200,41.4200,5526538,228909203.0000
2015-05-25,41.9700,41.9700,37.2800,37.2800,120386179,4633009408.0000
2015-05-26,37.5000,40.4500,36.7100,39.4900,86016637,3286272016.0000
2015-05-27,39.5300,42.4500,37.6500,39.9300,79363913,3141263184.0000
2015-05-28,40.5300,41.8800,36.7300,36.8000,79459219,3153715472.0000
2015-05-29,37.1400,37.8000,34.8000,35.5000,62783150,2284874912.0000
2015-06-01,35.0000,37.3100,34.8800,36.8000,50976707,1856349888.0000
2015-06-02,37.1800,39.5000,36.6900,37.8700,52674007,1991239040.0000
2015-06-03,38.0000,38.7800,36.1100,36.8000,48684427,1819638432.0000
2015-06-04,37.2100,37.9800,33.9800,35.8000,53240471,1930872048.0000
2015-06-05,36.5000,36.9800,34.8100,35.6800,49195241,1773451088.0000
2015-06-08,35.2600,35.2800,33.5000,34.0800,46438047,1587993008.0000
2015-06-09,33.3500,34.9500,33.0800,33.5000,37168923,1258535360.0000
2015-06-10,33.4100,35.3300,33.0200,34.9400,47251075,1624770064.0000
2015-06-11,35.1000,37.0900,34.8400,36.0200,49058139,1767276784.0000
2015-06-12,36.2600,36.5800,34.4500,34.7700,47082951,1650731648.0000
2015-06-15,34.8000,34.9900,32.3800,32.5600,43883271,1462054096.0000
2015-06-16,31.7600,32.0300,29.7800,30.0200,46582257,1429896480.0000
2015-06-17,30.0100,31.0400,28.9800,30.7700,47550091,1429970528.0000
2015-06-18,30.6800,30.6800,28.0000,28.0600,44069018,1300121344.0000
2015-06-19,27.5000,28.9600,27.0000,27.0800,39853465,1122183776.0000
2015-06-23,27.9300,28.9000,26.8100,28.7000,40838974,1140513632.0000
2015-06-24,29.0600,29.5700,27.8100,28.8800,43646919,1256847824.0000
2015-06-25,29.4700,29.4800,26.0000,26.8000,41786505,1181926544.0000
2015-06-26,26.2000,26.5000,24.1200,24.1200,41550804,1040235424.0000
2015-06-29,24.5000,24.6800,21.7100,21.7100,49121756,1116765472.0000
2015-06-30,21.5500,23.8300,19.5400,23.6900,63444792,1375360224.0000
2015-07-01,23.3000,24.6100,21.7000,22.0000,61488898,1461001712.0000
2015-07-02,22.0000,22.9700,20.5100,21.6700,51477489,1128023728.0000
2015-07-03,20.8000,23.0000,19.7200,20.8300,49823420,1056385968.0000
2015-07-06,22.9100,22.9100,18.7500,18.9100,66802436,1368398752.0000
2015-07-07,17.9300,17.9300,17.0200,17.0200,21832696,376090736.0000
2015-07-08,15.3200,15.5000,15.3200,15.3200,83074979,1272949600.0000
2015-07-09,15.3200,16.8500,15.3200,16.8500,53716082,879789328.0000
2015-07-10,18.3800,18.5400,17.8000,18.5400,18511425,339434864.0000
2015-07-13,20.0000,20.3900,19.5000,20.3900,47852381,969138320.0000
2015-07-14,21.9900,22.4300,21.0200,22.4300,96727627,2132181472.0000
2015-07-15,21.8000,22.1900,20.1900,20.1900,68276446,1427351072.0000
2015-07-16,18.8200,21.6200,18.3800,20.5900,50212600,1021489344.0000
2015-07-17,20.8000,22.6500,20.6000,22.3900,52313183,1137982240.0000
2015-07-20,23.0000,24.0000,22.3900,23.1200,69080903,1606569296.0000
2015-07-21,22.5000,23.9400,22.1100,23.3900,47459757,1100654032.0000
2015-07-22,23.3000,23.8900,22.5900,23.3500,44654514,1039150400.0000
2015-07-23,23.2400,24.5000,23.0100,24.1100,54036707,1289821264.0000
2015-07-24,24.2000,24.9500,22.9000,23.4600,62276099,1503487776.0000
2015-07-27,22.8100,23.4600,21.1100,21.1100,46453535,1041016848.0000
2015-07-28,19.2500,21.1000,19.0000,19.0000,55174847,1070557408.0000
2015-07-29,19.8000,20.4800,18.0200,20.3900,42155440,810895200.0000
2015-07-30,19.8800,20.4000,18.7500,18.7700,38442695,764319872.0000
2015-07-31,18.2000,19.1600,17.6900,18.2000,27032803,498788080.0000
2015-08-03,17.5500,17.7700,16.3800,16.3900,43059861,725240800.0000
2015-08-04,16.7300,18.0300,16.5100,18.0300,31742411,547763344.0000
2015-08-05,18.5900,19.6200,18.2300,18.6200,57252861,1074866304.0000
2015-08-06,18.0600,19.3800,18.0000,18.7900,36043725,680069696.0000
2015-08-07,19.0200,20.2000,19.0200,19.9500,39479919,780472736.0000
2015-08-10,20.3400,21.7100,19.9300,21.4100,44318246,921343408.0000
2015-08-11,21.2500,22.1500,21.1500,21.3400,41453146,896357504.0000
2015-08-12,20.9600,21.3900,20.1100,20.1800,37245589,772169248.0000
2015-08-13,19.9500,21.1600,19.5900,21.1400,46305371,934790480.0000
2015-08-14,21.4000,22.5000,21.2000,22.2200,61740277,1352947808.0000
2015-08-17,22.0000,22.2800,21.3100,22.0800,41117035,896525568.0000
2015-08-18,22.1600,22.4000,19.8700,19.8700,51825554,1103105472.0000
2015-08-19,18.8800,20.6000,18.1600,20.6000,41514674,803022192.0000
2015-08-20,20.8000,21.5700,19.9300,19.9600,44408726,931024800.0000
2015-08-21,19.0000,19.7000,18.0300,18.1800,35162113,668778384.0000
2015-08-24,17.2000,17.6000,16.3600,16.3600,24660860,409618960.0000
2015-08-25,14.7200,15.7200,14.7200,14.7200,40836970,606232384.0000
2015-08-26,14.7200,15.5000,13.3600,13.5000,47831025,696110864.0000
2015-08-27,14.0800,14.8500,13.6600,14.8500,42379132,605653200.0000
2015-08-28,15.4200,16.3400,15.0200,16.3400,60266780,944783664.0000
