,time,open,close,high,low,volume,amount
0,2015/4/16,7672.641,7697.728,7784.564,7483.879,123400,1.89E+11
1,2015/4/17,7708.439,7739.58,7891.666,7622.947,122985,1.92E+11
2,2015/4/20,7743.993,7594.931,7833.929,7558.812,105223,1.62E+11
3,2015/4/21,7623.478,8122.676,8130.403,7616.232,140591,2.22E+11
4,2015/4/22,8142.62,8172.31,8219.138,8089.996,129489,2.11E+11
5,2015/4/23,8170.395,8246.455,8354.218,8141.113,139023,2.30E+11
6,2015/4/24,8225.123,8300.264,8322.649,8100.57,134275,2.21E+11
7,2015/4/27,8328.322,8319.613,8525.456,8268.138,134864,2.26E+11
8,2015/4/28,8290.641,8117.745,8389.462,7987.871,174786,2.86E+11
9,2015/4/29,8100.519,8271.152,8276.193,8052.581,140764,2.31E+11
10,2015/4/30,8281.464,8306.415,8377.606,8263.099,126204,2.11E+11
11,2015/5/4,8335.574,8307.981,8451.178,8171.861,106885,1.78E+11
12,2015/5/5,8292.419,8103.399,8300.283,8049.959,117520,1.93E+11
13,2015/5/6,8133.916,7998.159,8235.747,7927.973,120648,1.97E+11
14,2015/5/7,7975.322,7875.035,8018.798,7867.142,118502,1.89E+11
15,2015/5/8,7905.089,8133.173,8133.173,7891.641,134940,2.16E+11
16,2015/5/11,8135.931,8442.292,8458.013,8107.936,142622,2.37E+11
17,2015/5/12,8439.946,8591.582,8594.213,8361.997,184095,3.13E+11
18,2015/5/13,8528.295,8611.508,8691.142,8428.672,247615,4.27E+11
19,2015/5/14,8575.609,8638.494,8704.395,8528.72,249109,4.31E+11
20,2015/5/15,8611.776,8595.259,8698.53,8486.488,222561,3.83E+11
21,2015/5/18,8725.471,8881.655,8905.784,8664.271,208858,3.65E+11
22,2015/5/19,8772.442,9097.725,9129.624,8705.581,237774,4.25E+11
23,2015/5/20,9094.331,9264.658,9442.533,9091.784,248883,4.64E+11
24,2015/5/21,9289.992,9712.814,9730.669,9289.992,266715,5.07E+11
25,2015/5/22,9749.616,9719.758,9844.696,9504.66,296582,5.74E+11
26,2015/5/25,9592.438,9941.906,9993.245,9435.001,272067,5.35E+11
27,2015/5/26,9961.305,10509.595,10512.079,9961.305,269500,5.54E+11
28,2015/5/27,10556.45,10547.973,10708.096,10351.12,323732,6.81E+11
29,2015/5/28,10578.749,9979.378,10758.325,9837.166,386694,8.06E+11
30,2015/5/29,10105.786,10131.374,10372.672,9904.279,378946,7.70E+11
31,2015/6/1,10216.725,11027.861,11084.128,10187.841,274617,5.82E+11
32,2015/6/2,11038.853,11280.533,11420.738,10868.867,301198,6.69E+11
33,2015/6/3,11319.161,11121.739,11478.712,10834.436,359363,8.04E+11
34,2015/6/4,11169.19,10868.947,11268.177,10057.933,411842,8.82E+11
35,2015/6/5,10897.013,10927.776,11248.99,10531.317,367379,8.06E+11
36,2015/6/8,10835.246,10549.351,10915.659,10346.592,338203,7.19E+11
37,2015/6/9,10549.983,10625.595,10880.481,10379.491,349401,7.48E+11
38,2015/6/10,10575.835,10908.734,11259.966,10525.932,343745,7.54E+11
39,2015/6/11,11013.938,11185.449,11214.459,10857.972,290486,6.44E+11
40,2015/6/12,11197.42,11400.033,11516.494,11159.615,281288,6.41E+11
41,2015/6/15,11414.622,11203.187,11546.779,10985.584,287163,6.50E+11
42,2015/6/16,11195.233,10756.059,11204.178,10591.353,381645,8.30E+11
43,2015/6/17,10746.029,10975.585,11050.518,10414.52,365153,7.86E+11
44,2015/6/18,10976.638,10578.141,11132.456,10566.298,378158,8.28E+11
45,2015/6/19,10562.348,9986.253,10590.913,9955.012,452932,9.34E+11
46,2015/6/23,9995.655,9858.581,10096.366,9376.872,388551,7.65E+11
47,2015/6/24,9857.268,10003.52,10165.473,9660.383,355829,7.09E+11
48,2015/6/25,10037.915,9310.189,10086.748,9264.296,378147,7.44E+11
49,2015/6/26,9325.016,8558.82,9325.016,8558.82,322561,5.79E+11
50,2015/6/29,8710.439,7706.198,8724.291,7706.198,405117,6.64E+11
51,2015/6/30,7688.653,8265.192,8548.032,7489.391,460686,7.43E+11
52,2015/7/1,8325.451,7438.828,8703.362,7438.828,450877,7.56E+11
53,2015/7/2,7771.361,7596.645,8193.84,7254.716,539896,8.36E+11
54,2015/7/3,7638.231,7343.565,7864.327,7026.725,440203,6.56E+11
55,2015/7/6,8111.156,7376.668,8111.156,6655.978,372855,5.42E+11
56,2015/7/7,7278.619,6468.704,7370.087,6468.704,134990,1.87E+11
57,2015/7/8,6117.462,5908.808,7009.831,5908.808,40633,51282911680
58,2015/7/9,5857.485,6488.004,6488.004,5770.175,21227,26634963560
59,2015/7/10,6786.388,7132.894,7132.894,6782.736,15678,22093830600
60,2015/7/13,7421.863,7430.544,7837.125,7043.594,117646,1.80E+11
61,2015/7/14,7591.695,7502.258,7852.432,7408.343,145244,2.24E+11
62,2015/7/15,7471.265,6870.707,7487.529,6816.79,126863,1.84E+11
63,2015/7/16,6781.412,7207.021,7425.933,6511.528,188692,2.69E+11
64,2015/7/17,7169.449,7731.589,7732.103,7141.188,159111,2.40E+11
65,2015/7/20,7806.524,7465.611,7964.953,7305.88,206615,3.18E+11
66,2015/7/21,7457.389,7581.058,7795.8,7267.99,200285,3.07E+11
67,2015/7/22,7562.932,7633.264,7766.189,7434.761,161093,2.49E+11
68,2015/7/23,7667.307,8282.061,8356.768,7574.692,185614,2.99E+11
69,2015/7/24,8302.591,7856.068,8414.969,7794.863,200974,3.34E+11
70,2015/7/27,7856.515,7231.898,8052.594,7231.898,164002,2.59E+11
71,2015/7/28,7070.174,7083.852,7381.947,6895.868,182366,2.64E+11
72,2015/7/29,7141.51,7560.893,7572.195,6819.105,192114,2.81E+11
73,2015/7/30,7539.983,7089.811,7583.434,7010.676,202563,3.04E+11
74,2015/7/31,7126.94,7248.458,7484.925,7067.646,158052,2.33E+11
75,2015/8/3,7192.963,6903.942,7197.143,6839.187,103678,1.48E+11
76,2015/8/4,6928.167,7480.296,7525.957,6916.289,141017,2.09E+11
77,2015/8/5,7533.981,7308.767,7560.814,7282.16,126343,1.91E+11
78,2015/8/6,7232.751,7375.159,7547.662,7175.647,131340,1.98E+11
79,2015/8/7,7413.692,7719.281,7825.381,7413.692,144064,2.25E+11
80,2015/8/10,7734.074,8214.879,8312.786,7734.074,119663,1.95E+11
81,2015/8/11,8236.855,8072.196,8273.251,8070.924,115768,1.92E+11
82,2015/8/12,8070.674,7928.885,8181.383,7914.245,125333,2.05E+11
83,2015/8/13,7928.479,8169.148,8208.854,7887.643,125758,2.06E+11
84,2015/8/14,8199.713,8205.094,8352.4,8125.331,131755,2.22E+11
