,time,open,close,high,low,volume,amount,r_1,r_5,r_10
0,2015/4/16,7672.641,7697.728,7784.564,7483.879,123400,189000000000.0,0.005436928922404099,0.07128428024476831,0.07907359158442605
1,2015/4/17,7708.439,7739.58,7891.666,7622.946999999999,122985,192000000000.0,-0.018689515451742904,0.07244372433646284,0.0734408068654888
2,2015/4/20,7743.993,7594.931,7833.929,7558.812,105223,162000000000.0,0.06948647723066871,0.0954165350547624,0.06694833698950008
3,2015/4/21,7623.478,8122.6759999999995,8130.403,7616.232,140591,222000000000.0,0.0061105478046891105,-0.0006070659472321173,-0.015329553954878778
4,2015/4/22,8142.62,8172.31,8219.138,8089.996,129489,211000000000.0,0.009072710163956032,0.012094744325655738,-0.03637588393000272
5,2015/4/23,8170.395,8246.455,8354.218,8141.113,139023,230000000000.0,0.006525106848943104,0.0072710031158844555,-0.013737054285750573
6,2015/4/24,8225.123,8300.264000000001,8322.649,8100.57,134275,221000000000.0,0.0023311306724701957,0.0009297294640265337,0.017111262967057242
7,2015/4/27,8328.322,8319.613000000001,8525.456,8268.138,134864,226000000000.0,-0.02426410940028115,-0.025988468454001504,0.03269010229201756
8,2015/4/28,8290.641,8117.745,8389.462,7987.871,174786,286000000000.0,0.01889773576282578,-0.014731430957735102,0.06082514294302173
9,2015/4/29,8100.519,8271.152,8276.193000000001,8052.581,140764,231000000000.0,0.004263372260599349,-0.047891394088755736,0.04441243493046683
10,2015/4/30,8281.464,8306.415,8377.606,8263.099,126204,211000000000.0,0.00018852898633151533,-0.020856410376799157,0.034773605701135704
11,2015/5/4,8335.574,8307.981,8451.178,8171.861,106885,178000000000.0,-0.024624755400860864,0.016166503028834527,0.06905095233125845
12,2015/5/5,8292.419,8103.399,8300.283000000001,8049.959,117520,193000000000.0,-0.012987142802668335,0.0602442259106333,0.1227048057241165
13,2015/5/6,8133.916,7998.159000000001,8235.747,7927.973000000001,120648,197000000000.0,-0.015394042554042836,0.07668627242844249,0.1583488150210568
14,2015/5/7,7975.321999999999,7875.035,8018.798000000001,7867.142,118502,189000000000.0,0.032779282885726964,0.09694674372875813,0.23336772471487435
15,2015/5/8,7905.089,8133.173000000001,8133.173000000001,7891.641,134940,216000000000.0,0.03800718366620245,0.05681497245908814,0.19507577178058294
16,2015/5/11,8135.931,8442.292,8458.013,8107.936,142622,237000000000.0,0.017683586400470498,0.05204309445823495,0.17763114566518187
17,2015/5/12,8439.946,8591.582,8594.213,8361.997,184095,313000000000.0,0.002319246909358425,0.058911501979495746,0.2232432862771954
18,2015/5/13,8528.295,8611.508,8691.142,8428.671999999999,247615,427000000000.0,0.0031337136306441088,0.07584618164437651,0.22486944214648585
19,2015/5/14,8575.609,8638.494,8704.395,8528.72,249109,431000000000.0,-0.00500492331186438,0.12436426997576194,0.15522196345798236
20,2015/5/15,8611.776,8595.259,8698.53,8486.488000000001,222561,383000000000.0,0.033320229210079724,0.1308278203135007,0.17871654594701564
21,2015/5/18,8725.471,8881.655,8905.784,8664.271,208858,365000000000.0,0.024327673164517165,0.11937538668187385,0.24164482858206043
22,2015/5/19,8772.442,9097.725,9129.624,8705.581,237774,425000000000.0,0.018348872932518943,0.15518934678724614,0.23992899323732042
23,2015/5/20,9094.331,9264.658000000001,9442.533000000001,9091.784,248883,464000000000.0,0.04837264365290105,0.13851725557489533,0.20044787406075842
24,2015/5/21,9289.992,9712.814,9730.669,9289.992,266715,507000000000.0,0.000714931841585714,0.02744456961700289,0.1190317244827297
25,2015/5/22,9749.616,9719.758,9844.696,9504.66,296582,574000000000.0,0.022855301541458053,0.042348379455537884,0.12428478157583778
26,2015/5/25,9592.438,9941.905999999999,9993.245,9435.001,272067,535000000000.0,0.05710062034382546,0.10923006111705359,0.061099451151519796
27,2015/5/26,9961.305,10509.595,10512.079,9961.305,269500,554000000000.0,0.003651710651076527,0.07335563359006717,0.01103753284498594
28,2015/5/27,10556.45,10547.973,10708.096000000001,10351.12,323732,681000000000.0,-0.05390561769545669,0.05439585406598971,0.034201926758818835
29,2015/5/28,10578.749,9979.378,10758.325,9837.166,386694,806000000000.0,0.015231009387558942,0.0891407260051678,0.12085632992356818
30,2015/5/29,10105.786,10131.374,10372.671999999999,9904.279,378946,770000000000.0,0.08848622111867561,0.07860750180577697,0.1252208239474726
31,2015/6/1,10216.725,11027.861,11084.128,10187.841,274617,582000000000.0,0.022912149509320117,-0.043391007558038694,0.01589845936578264
32,2015/6/2,11038.853000000001,11280.533000000001,11420.738000000001,10868.867,301198,669000000000.0,-0.014076817114936118,-0.05805913603550487,-0.046493725074870304
33,2015/6/3,11319.161,11121.739,11478.712,10834.436000000002,359363,804000000000.0,-0.022729538968681018,-0.01915213079537301,-0.013141290224487416
34,2015/6/4,11169.19,10868.947,11268.177,10057.933,411842,882000000000.0,0.00541257584566394,0.029119840220032226,-0.026755673755700406
35,2015/6/5,10897.013,10927.776000000002,11248.99,10531.317,367379,806000000000.0,-0.03462964467792907,0.0432162042853001,-0.08615870237457292
36,2015/6/8,10835.246000000001,10549.351,10915.659,10346.591999999999,338203,719000000000.0,0.007227364034052784,0.0619787890269268,-0.06547985748128017
37,2015/6/9,10549.983,10625.595,10880.481000000002,10379.491,349401,748000000000.0,0.02664688424507044,0.012278277122363497,-0.058544956776538065
38,2015/6/10,10575.835,10908.733999999999,11259.966,10525.931999999999,343745,754000000000.0,0.025366371569789874,0.006128208827898872,-0.14653808590437703
39,2015/6/11,11013.938,11185.448999999999,11214.458999999999,10857.972,290486,644000000000.0,0.01918420977110553,-0.054294467750020343,-0.23482553091967961
40,2015/6/12,11197.42,11400.033000000001,11516.493999999999,11159.615,281288,641000000000.0,-0.01726714299862126,-0.12401543048164865,-0.3240196760833938
41,2015/6/15,11414.622,11203.187,11546.778999999999,10985.583999999999,287163,650000000000.0,-0.03991078610041952,-0.12001995503600893,-0.26224635900480825
42,2015/6/16,11195.233,10756.059,11204.178,10591.353000000001,381645,830000000000.0,0.020409519880841102,-0.0699641941346732,-0.30840580179041405
43,2015/6/17,10746.028999999999,10975.585,11050.518,10414.52,365153,786000000000.0,-0.03621164612182382,-0.1517364222499301,-0.3078596721723716
44,2015/6/18,10976.638,10578.141000000001,11132.456,10566.298,378158,828000000000.0,-0.055953876961935066,-0.19089564035873613,-0.3057792479793946
45,2015/6/19,10562.348,9986.253,10590.913,9955.011999999999,452932,934000000000.0,-0.01278477523050943,-0.2283193706388172,-0.26131773348822623
46,2015/6/23,9995.655,9858.581,10096.366,9376.872,388551,765000000000.0,0.014701811548741173,-0.16162457862850657,-0.3438503979426653
47,2015/6/24,9857.268,10003.52,10165.473,9660.383,355829,709000000000.0,-0.0693087033364256,-0.256378954607978,-0.409327116854867
48,2015/6/25,10037.915,9310.189,10086.748,9264.296,378147,744000000000.0,-0.08070394704124702,-0.18405039897686284,-0.3031286475494751
49,2015/6/26,9325.016,8558.82,9325.016,8558.82,322561,579000000000.0,-0.09961910637214001,-0.14198861525303724,-0.1666031065029992
50,2015/6/29,8710.439,7706.198,8724.291,7706.198,405117,664000000000.0,0.07253823480787785,-0.042761683517604884,-0.03577042790751035
51,2015/6/30,7688.653,8265.192,8548.032,7489.391,460686,743000000000.0,-0.09998122245678004,-0.21735587025685532,-0.092306869580283
52,2015/7/1,8325.451,7438.828,8703.362,7438.828,450877,756000000000.0,0.021215304346329823,-0.20568024963072132,-0.07637238016526272
53,2015/7/2,7771.361,7596.645,8193.84,7254.715999999999,539896,836000000000.0,-0.03331470668959795,-0.14593823984140372,-0.05128895716464316
54,2015/7/3,7638.231,7343.565,7864.326999999999,7026.725,440203,656000000000.0,0.0045077561102817194,-0.02868783758297222,0.05283864172237876
55,2015/7/6,8111.156,7376.668000000001,8111.156,6655.978,372855,542000000000.0,-0.12308592443092191,0.007303568494610208,0.012057340793973552
56,2015/7/7,7278.619000000001,6468.704000000001,7370.0869999999995,6468.704000000001,134990,187000000000.0,-0.08655458651377458,0.15977759996438234,0.1719593291020891
57,2015/7/8,6117.4619999999995,5908.808000000001,7009.831,5908.808000000001,40633,51282911680.0,0.09802247763000574,0.16279070161020603,0.29184498802465725
58,2015/7/9,5857.485,6488.004,6488.004,5770.175,21227,26634963560.0,0.09939728767121604,0.11082252723641968,0.2765190958575241
59,2015/7/10,6786.388000000001,7132.894,7132.894,6782.736,15678,22093830600.0,0.04172920556509036,0.08393437502365796,0.10138577693710295
60,2015/7/13,7421.863,7430.544,7837.125,7043.594,117646,180000000000.0,0.009651244915580993,0.004719304535441821,-0.02673370886438459
61,2015/7/14,7591.695,7502.258000000001,7852.432,7408.343000000001,145244,224000000000.0,-0.08418145576971643,0.010503504411605169,-0.05577067597515319
62,2015/7/15,7471.265,6870.706999999999,7487.529,6816.79,126863,184000000000.0,0.04894896551402939,0.11098668594076283,0.10045341767593942
63,2015/7/16,6781.411999999999,7207.021,7425.933000000001,6511.528,188692,269000000000.0,0.07278569050929645,0.1491656538811251,-0.016263307682883126
64,2015/7/17,7169.4490000000005,7731.589,7732.103,7141.188,159111,240000000000.0,-0.034401466503198766,0.016100053947513283,-0.06248793100616179
65,2015/7/20,7806.524,7465.611,7964.953,7305.88,206615,318000000000.0,0.015463838123899173,-0.03130527427694796,-0.07523416368733929
66,2015/7/21,7457.389,7581.058000000001,7795.8,7267.99,200285,307000000000.0,0.006886373907177497,-0.06558530484795143,-0.013291284672931078
67,2015/7/22,7562.932,7633.264,7766.189,7434.7609999999995,161093,249000000000.0,0.08499601219085302,-0.009481003146229463,-0.04251091014276465
68,2015/7/23,7667.307,8282.061,8356.768,7574.691999999999,185614,299000000000.0,-0.051435626953242615,-0.14395571343896163,-0.10950197058437497
69,2015/7/24,8302.591,7856.068,8414.969000000001,7794.863,200974,334000000000.0,-0.07945068703580468,-0.07734276230806551,-0.01741163645732194
70,2015/7/27,7856.515,7231.898,8052.594,7231.898,164002,259000000000.0,-0.02047125111554398,-0.04534853782506349,0.1359229624090385
71,2015/7/28,7070.174,7083.852,7381.946999999999,6895.868,182366,264000000000.0,0.06734203368449823,0.055964466790102266,0.13952070144887274
72,2015/7/29,7141.51,7560.893,7572.195,6819.105,192114,281000000000.0,-0.06230507428156969,-0.03334606110680315,0.04867044144124248
73,2015/7/30,7539.983,7089.811,7583.434,7010.6759999999995,202563,304000000000.0,0.02237676011391571,0.04024761732012332,0.1522377676922559
74,2015/7/31,7126.94,7248.4580000000005,7484.925,7067.646,158052,233000000000.0,-0.04752955732101937,0.06495491868753318,0.13197786342971157
75,2015/8/3,7192.963000000001,6903.941999999999,7197.143,6839.187,103678,148000000000.0,0.08348187166114668,0.18988238893084586,0.22360573133435976
76,2015/8/4,6928.1669999999995,7480.295999999999,7525.956999999999,6916.289000000001,141017,209000000000.0,-0.022930777070853822,0.07912788477889118,0.011802875180340547
77,2015/8/5,7533.981,7308.767,7560.814,7282.16,126343,191000000000.0,0.009083885147795892,0.08484577494398171,0.07230097771621403
78,2015/8/6,7232.751,7375.159000000001,7547.661999999999,7175.647,131340,198000000000.0,0.04665960422005808,0.10765720440738966,0.031791992552296096
79,2015/8/7,7413.691999999999,7719.281,7825.380999999999,7413.691999999999,144064,225000000000.0,0.06420261161628925,0.06293500651161694,-0.06530841408675238
80,2015/8/10,7734.0740000000005,8214.879,8312.786,7734.0740000000005,119663,195000000000.0,-0.0173688498637656,0.028341744291060223,-0.2025008524166942
81,2015/8/11,8236.855,8072.196,8273.251,8070.924,115768,192000000000.0,-0.017753657121308712,-0.06238835132348123,-0.2821520934328155
82,2015/8/12,8070.674,7928.885,8181.383000000001,7914.245,125333,205000000000.0,0.030302243001380385,-0.011563668788234399,-0.3298040014453484
