,Unnamed: 0,time,O,H,L,C,volume,amount,r_1,r_5,r_10,k,rsi,linear_result
0,1313,2019/12/6,9.92,10.31,9.8,10.27,34659470,349967094.7,0.0029211295034080953,0.10418695228821814,0.1879259980525803,48.50771239,67.04440871,50.00255
1,1314,2019/12/9,10.26,10.42,10.16,10.3,29013521,298870669.1,0.05728155339805824,0.14563106796116504,0.12524271844660184,53.34444197,67.88330231,49.370956
2,1315,2019/12/10,10.31,11.03,10.22,10.89,51293568,549219637.2,-0.003673094582185576,0.08631772268135901,0.08907254361799806,59.47717582,79.45449587,51.691513
3,1316,2019/12/11,10.99,11.07,10.73,10.85,33154469,361384261.0,0.005529953917050736,0.08755760368663605,0.09585253456221207,63.71956432,77.32952439,57.554348
4,1317,2019/12/12,10.93,11.16,10.75,10.91,32508428,355683671.4,0.03941338221814846,0.11915673693858853,0.09349220898258474,67.07813156,78.30849402,60.616302
5,1318,2019/12/13,11.01,11.4,10.91,11.34,45690045,511609085.4,0.040564373897707305,0.07583774250440913,0.020282186948853653,72.00645042,83.91027159999999,63.51637
6,1319,2019/12/16,11.37,11.97,11.21,11.8,45059584,524018626.2,0.002542372881355879,-0.017796610169491595,-0.007627118644067785,75.47147704,87.72524109,67.41793
7,1320,2019/12/17,11.75,11.89,11.65,11.83,30295175,356639561.6,-0.002535925612848636,0.002535925612848636,-0.002535925612848636,78.57086364,87.93512424,71.60418
8,1321,2019/12/18,11.7,11.92,11.55,11.8,25627218,300510764.1,0.034745762711864414,0.007627118644067785,0.034745762711864414,80.94182139,86.27550764,72.73268
9,1322,2019/12/19,11.8,12.4,11.75,12.21,37424797,455278565.9,-0.000819000819000947,-0.022932022932023025,-0.027027027027027032,82.93216701,89.36230613,74.51042
10,1323,2019/12/20,12.24,12.27,12.02,12.2,24241056,294305038.2,-0.04999999999999995,-0.051639344262295,0.0,84.52836639,88.81419996,77.52013
11,1324,2019/12/23,12.1,12.1,11.54,11.59,37046797,435306056.6,0.023295944779982702,0.010353753235547972,0.06212251941328738,81.9146643,62.50507424,77.59642
12,1325,2019/12/24,11.72,11.97,11.48,11.86,22208106,260650176.6,0.002529510961214261,-0.005059021922428223,0.003372681281618965,80.91102977,67.3248602,76.284164
13,1326,2019/12/25,11.84,12.08,11.75,11.89,15473763,184318326.5,0.0033641715727501386,0.0269133725820017,0.031118587047939374,80.19344224,67.84158590000001,73.37999
14,1327,2019/12/26,11.9,12.1,11.73,11.93,17459232,207791396.0,-0.030176026823134906,-0.004191114836546432,0.021793797150041892,78.80391644,68.58674245,72.571754
15,1328,2019/12/27,11.88,12.01,11.56,11.57,27649164,324696057.1,0.012100259291270576,0.05445116681071729,0.10025929127052724,73.95275865,55.55334863,72.13852
16,1329,2019/12/30,11.51,11.87,11.51,11.71,22087020,258126221.0,0.007685738684884701,0.05123825789923138,0.07514944491887267,70.57584474,58.96489236,69.83336
17,1330,2019/12/31,11.69,11.94,11.41,11.8,32142040,374800996.5,0.034745762711864414,0.00847457627118641,0.08983050847457616,67.07650927,61.12299298,66.34362
18,1331,2020/1/2,11.89,12.37,11.7,12.21,37361921,453910539.9,-0.027027027027027032,0.0040950040950040074,0.03194103194103184,69.36510453,69.37689346,64.46972
19,1332,2020/1/3,12.23,12.24,11.87,11.88,32564115,390179404.2,0.02693602693602681,0.026094276094275986,0.04208754208754208,65.71671169,58.19026163,64.0238
20,1333,2020/1/6,11.89,12.48,11.71,12.2,44308164,536164039.6,0.00901639344262305,0.04344262295081977,-0.02622950819672119,67.06922236,64.44456467,64.02869
21,1334,2020/1/7,12.14,12.56,12.1,12.31,39627214,488026882.7,-0.03330625507717304,0.0227457351746547,-0.09179528838342817,68.93449689,66.38893485,62.258213
22,1335,2020/1/8,12.11,12.17,11.8,11.9,37795181,451255767.1,0.030252100840336086,0.08067226890756295,-0.06554621848739506,64.54686335,54.00518312,63.355534
23,1336,2020/1/9,12.07,12.28,11.78,12.26,36283122,437062200.6,-0.005709624796084853,0.027732463295269155,-0.13784665579119082,66.10789337,61.16150662,62.83807
24,1337,2020/1/10,12.18,12.46,11.96,12.19,30110794,367500835.5,0.04429860541427407,0.01558654634946688,-0.2198523379819524,66.39425897,59.14837516,60.93542
